죄종별(1),죄종별(2),2021,생활비,유흥비,도박비,허영사치심,치부,사행심,보복,가정불화,호기심,유혹,우발적,현실불만,부주의,미상,최종기타
강력범죄,살인기수,10,0,0,0,0,3,0,4,26,0,0,87,15,1,83,81
강력범죄,살인미수등,10,1,0,0,0,2,0,6,34,0,0,159,24,1,58,117
강력범죄,강도,347,130,67,5,0,0,21,0,3,5,2,118,3,2,94,153
강력범죄,강간,171,7,2,2,0,0,22,1,33,169,249,1390,12,55,1864,1627
강력범죄,유사강간,20,0,0,0,0,1,3,0,3,46,30,277,0,7,199,249
강력범죄,강제추행,275,9,0,0,1,3,41,1,21,519,304,5238,15,414,2723,4331
강력범죄,기타 강간·강제추행등,21,2,0,0,0,0,1,0,2,11,11,82,2,1,40,100
강력범죄,방화,15,3,0,0,0,1,1,2,53,39,0,406,59,38,91,244
폭력범죄,상해,114,11,1,1,0,4,14,47,2034,11,1,22954,261,353,3047,6752
폭력범죄,폭행,243,21,10,0,0,2,38,82,12940,59,14,57508,608,883,53569,19690
폭력범죄,체포·감금,36,2,0,0,0,0,1,1,71,2,1,454,17,15,572,351
폭력범죄,협박,116,16,4,4,0,3,14,113,2140,19,4,9055,249,335,6182,3796
폭력범죄,약취·유인,14,4,0,0,0,0,0,0,8,7,16,51,0,3,88,131
폭력범죄,폭력행위등,618,84,73,10,2,2,60,12,125,414,29,10203,127,259,3793,4886
폭력범죄,공갈,684,184,64,7,4,2,59,0,14,25,7,441,19,36,811,679
폭력범죄,손괴,312,16,1,1,0,2,30,16,2122,179,10,17588,461,905,6739,7482
지능범죄,직무유기,0,0,0,0,0,0,0,0,0,0,0,8,0,11,704,87
지능범죄,직권남용,12,0,0,0,0,0,0,0,0,0,0,7,0,8,711,119
지능범죄,증수뢰,143,17,0,1,0,0,7,0,0,0,3,9,0,7,271,211
지능범죄,통화,12,3,0,0,0,0,0,0,0,0,0,0,0,0,35,11
지능범죄,문서·인장,1007,279,3,11,5,6,91,0,2,218,28,328,6,620,5955,3186
지능범죄,유가증권인지,6,2,0,0,0,0,2,0,0,0,0,0,0,0,41,19
지능범죄,사기,44998,21305,1096,1671,102,146,3128,1,16,268,504,4621,57,3484,65142,40617
지능범죄,횡령,4473,1154,62,64,7,18,411,0,3,358,163,5025,18,891,10480,6148
지능범죄,배임,479,78,5,1,1,3,29,0,0,1,10,22,1,95,3961,1092
풍속범죄,성풍속범죄,487,95,9,2,3,3,88,6,21,2721,454,4187,59,368,2054,4104
풍속범죄,도박범죄,2849,419,112,98,5,0,4289,0,1,369,69,1372,5,237,1394,3896
