연도,계,국립,공립,사립
1965,7538,25,7391,122
1966,7270,42,6959,269
1967,7604,35,7173,396
1968,8275,42,7887,346
1969,9073,40,8660,373
1970,9571,45,9082,444
1971,10293,48,9695,550
1972,10712,46,10134,532
1973,11340,57,10773,510
1974,11682,57,11074,551
1975,11694,61,11108,525
1976,12084,49,11555,480
1977,11646,46,11096,504
1978,13320,45,12783,492
1979,13662,42,13127,493
1980,14978,40,14445,493
1981,15152,43,14653,456
1982,14924,37,14456,431
1983,16897,34,16431,432
1984,17775,36,17332,407
1985,18802,40,18354,408
1986,19517,40,19062,415
1987,20501,48,20014,439
1988,22900,76,22370,454
1989,24515,90,23940,485
1990,24927,101,24320,506
1991,24910,104,24311,495
1992,25015,113,24386,516
1993,25984,104,24895,985
1994,26572,116,25927,529
1995,26998,107,26368,523
1996,28148,107,27502,539
1997,29923,108,29253,562
1998,30749,97,30098,554
1999,28593,79,27995,519
2000,27356,74,26791,491
2001,27615,54,27060,501
2002,27551,50,26994,507
2003,27878,47,27327,504
2004,28121,50,27571,500
2005,28691,52,28135,504
2006,28708,49,28172,487
2007,27473,47,26952,474
2008,25504,39,25006,459
2009,25304,39,24801,464
2010,25519,36,25022,461
2011,25435,40,24953,442
2012,25739,40,25243,456
2013,25265,40,24763,462
2014,25725,40,25223,462
2015,25472,37,24974,461
2016,24992,32,24519,441
2017,24529,34,24053,442
2018,24225,34,23764,427
2019,23967,35,23510,422
2020,23941,35,23503,403
2021,23768,38,23341,389
2022,23802,38,23371,393
